x,y
0.35,5.44673737166631
0.947,3.5263605246161616
1.002,5.293304824724492
1.092,5.673323267171493
0.85,4.897839799950911
1.372,6.208590026096629
1.376,7.186144304522325
1.043,4.653960350157523
1.362,5.707110264748875
0.562,6.46302945692067
1.067,7.3031700512368
1.356,7.805474625270857
0.393,2.9444389791664403
0.813,0.0
0.776,4.6443908991413725
0.945,4.5217885770490405
1.041,1.9459101490553132
1.004,8.922924930641832
1.092,4.919980925828125
0.331,3.713572066704308
0.046,1.791759469228055
0.574,3.4339872044851463
0.549,5.313205979041787
1.365,7.9294865233142895
0.026,3.4339872044851463
0.35,3.044522437723423
1.159,7.037027614686276
1.029,9.62483129129166
0.985,5.8664680569332965
0.274,0.0
0.673,4.04305126783455
0.094,4.394449154672439
1.034,3.6109179126442243
1.155,4.564348191467836
1.263,4.060443010546419
1.383,5.968707559985366
1.015,5.916202062607435
0.912,9.353227859524731
0.913,5.594711379601839
0.794,3.4657359027997265
1.237,4.897839799950911
0.336,2.1972245773362196
1.34,5.58724865840025
1.324,10.197983855295579
1.057,3.6375861597263857
0.308,1.6094379124341003
0.886,3.7376696182833684
1.373,8.84404789894249
0.611,5.998936561946683
1.181,5.049856007249537
0.8,4.219507705176107
0.38,5.117993812416755
0.323,2.302585092994046
0.642,4.276666119016055
1.201,5.3471075307174685
1.38,4.59511985013459
0.755,7.545918151209323
0.931,6.077642243349034
1.1,8.066521490469993
1.043,4.51085950651685
1.499,7.323170717943469
1.276,7.030857476116121
1.294,8.788288460263619
0.831,3.9512437185814275
1.327,7.057036981697891
0.837,3.6888794541139363
1.173,5.575949103146316
0.512,3.367295829986474
0.882,5.666426688112432
1.5,5.703782474656201
0.551,4.23410650459726
0.764,1.0986122886681098
1.187,3.871201010907891
0.987,4.110873864173311
0.073,2.833213344056216
1.044,2.5649493574615367
1.238,4.499809670330265
1.609,5.455321115357702
0.274,2.6390573296152584
0.191,2.302585092994046
1.221,5.459585514144159
0.385,4.060443010546419
1.3,3.9512437185814275
0.57,0.6931471805599453
1.12,3.713572066704308
1.07,7.261927092702751
0.685,5.402677381872279
0.948,2.5649493574615367
1.051,3.4011973816621555
0.801,5.638354669333745
0.204,2.9444389791664403
0.879,1.0986122886681098
0.446,2.6390573296152584
1.396,7.204892510204673
1.303,4.48863636973214
0.694,0.6931471805599453
0.138,4.23410650459726
0.696,5.337538079701318
0.983,4.672828834461906
1.488,5.955837369464831
0.677,7.163946684342547
1.149,5.877735781779639
0.855,3.295836866004329
0.96,8.211482916445066
0.807,6.2878585601617845
1.206,6.300785794663244
1.221,7.323830566202317
1.684,6.863803391452954
1.162,6.259581464064923
1.183,8.867709208039386
0.359,3.091042453358316
1.403,7.208600337960199
0.45,4.465908118654584
1.004,7.774435510302958
0.268,2.995732273553991
1.572,7.262628600974241
1.246,4.736198448394496
1.258,4.248495242049359
0.0,4.290459441148391
0.96,5.869296913133774
0.306,3.332204510175204
1.286,9.172638504792172
0.949,4.174387269895637
1.387,6.699500340161678
1.452,7.186144304522325
0.619,1.791759469228055
0.493,2.70805020110221
0.476,5.198497031265826
1.05,5.236441962829949
0.275,2.6390573296152584
0.921,4.406719247264253
1.183,8.544419177669829
0.332,2.3978952727983707
0.82,6.359573868672378
1.503,6.313548046277095
1.333,9.074864232413733
1.124,3.871201010907891
0.745,5.117993812416755
0.96,3.367295829986474
0.741,2.9444389791664403
0.287,1.6094379124341003
0.578,2.1972245773362196
0.366,2.0794415416798357
